CUSTOMER;B/L TYPE;COMBINE B/L;SHIPPING MARK ON B/L;TANK REQUIREMENT;OTHER REQUIREMENT
A&A FRATELLI PARODI;OBL;;NO;NO NEED TO CHECK;CUSTOMER MUST CONFIRM SCHEDULE BEFORE SHIPMENT
ASTRA POLIMER;SWB;;NO;;
AZELIS BENELUX;SWB;;NO;;"INPUT ARTICLE NO IN ALL SHIP.DOC
SEND INVOICE BY EMAIL , INVOICE REQUIRE SIGN AND STAMP "
AZELIS DENMARK;SWB;;NO;;SEND INVOICE BY EMAIL
AZELIS FRANCE;SWB;;NO;KOSHER/HALAL;"Sebelum proses PO, re-confirm ke Bu Bellah apakah orderan ini utk L'OREAL ATAU BUKAN , AZELIS-LOREAL harus kirim original PO ke bu Bellah untuk reconfirm harga 
INPUT ARTICLE NO IN ALL SHIP.DOC
SEND INVOICE BY EMAIL"
BOSS CHEMIE ;SWB;;NO;;
BASF SCHWEIZ AG;SWB;;;KOSHER / HALAL ;"1.SEND INVOICE & COA BY EMAIL
2.PO NO IN KOSHER CERT FOR ISOTANK"
BASF PERSONAL CARE;SWB;;NO;KOSKER/HALAL;"1.KOSHER CERT
2.SEND INVOICE BY EMAIL"
BIOSYNTHIS;SWB;;NO;KOSKER/HALAL;"1.KOSHER CERT
2.SEND INVOICE BY EMAIL"
Chemische Fabrik Schärer & Schläpfer AG;SWB;;NO;;"1. DRUM WITH NEW PACKAGING 
(YELLOW STRAP WITH NO PLASTIC WRAPPING)"
CHP CARBOHYDRATE;OBL;;YES;;
CHEMIX SA;SWB;;YES;;"1. DRUM WITH NEW PACKAGING 
(YELLOW STRAP WITH NO PLASTIC WRAPPING)"
CORCORAN IRELAND;SWB;;NO;;REQUIRE FORM A 
CORCORAN UK;SWB;;NO;;
CRODA EUROPE (UK);SWB;;NO;KOSHER/HALAL;"1. Tank with larger heating surface ( > 10 m2 ) would be required as this is high heat cargo, Consignee will need to heat prior discharging.  if possible min 12m2
2. do not use BULKHAUL or HUKTRA to ship
3. INPUT ARTICLE AND MATERIAL CODE ON ALL SHIP.DOC                                                                                               4. Combine BL can be acceptable (subject with customer acceptance)                                                       
5. Material and Article Code in all documents
6. MAX NW : 19MT PER ISOTANK
7. Send invoice by email"
CRODA CHOCQUES SAS;SWB;;NO;;
CRODA IBERICA SPAIN;SWB;;NO;KOSHER/HALAL;"1.send invoice by email
2.NEED KOSHER CERT 
3. CRODA ACCEPT DRUM NEW PACKAGING (YELLOW STRAP WITH NO PLASTIC WRAPPING)"
CHT GERMANY GMBH;SWB;;;;
CVH CHEMIE;SWB;;NO;;
DERMOCHIMICHA;SWB;;;;"1.SHIPMENT DATE STATED ON SC & PI, NEED TO FOLLOW SHIPMENT DATE ON SCHEDULE GIVEN TO CUST.
(REMARKS HAVE TO BE UPDATED AS SCREENSHOT).
2. NEED INVOICE DATE TO BE THE DATE WE SEND THE REVISE PI 
3. NEED BL DRAFT CONFIRMATION FROM CUST
4.REQ PRE SAMPLE (NO NEED CUST APPROVAL), SENDING SAMPLE CLOSE TO ETD BATAM DATE"
DIA CHEMICAL;SWB;;NO;;"1. 14 FREE DAYS @ POD (COMBINE)
2. SWITCH BL (MAKE SURE THEY KNOW THE FEE IS UNDER DIA CHEM)
3. DTHC BILLED TO DIA CHEM AND INVOICE FROM CARRIER SHOULD INDICATE BANK CHARGES >> info FM
4. SURRENDER BL IS ACCEPTABLE"
DHW;SWB;;NO;SPECIAL REQUIREMENT;"1. PRICE IS SUBJECT TO CHANGE MONTHLY
2. INVOICE EOS SIGNED MANUALLY BY FINANCE FOR ANTI-LUMPING PRODUCTS (ECORIC 6, ECORIC 80, ECORIC 68 TA, ECORIC 18W80, ECORIC 810)
3. CIP, Please bill all destination charges to EOS      (SEND INVOICE BY EMAIL)"
FACI ECHEM;SWB;;NO;;
E&S CHIMIE;SWB;;NO;KOSHER/HALAL;
EOG;SWB;;NO;WAX B PERLU CEK KOSHER/HALAL;CIP, Please bill all destination charges to EOS, DTHC included except inspection charges
ELITAS;SWB;;NO;WAX B PERLU CEK KOSHER/HALAL;"1.PLEASE INPUT PI NO. IN EOS INVOICE, TO SHIP ISOTANK SEPARATELY
2.SEND CUST BL DRFAT FOR CONFIRMATION"
EPSON TELFORD;SWB;;NO;;SINGLE LAYER PALLET ONLY  , WHEN BOOKING PLS MENTION NO ROLLED SHIPMENT 
ETERNIS FINE CHEMICALS UK;SWB;;NO;KOSHER/HALAL BASED ON ETERNIS'S LIST;"1. Send invoice by email
2. Send CC & COA by email
3. Tank harus di approved by Eternis"
EUROBIO LAB;SWB;;YES;;1. NO NEED SCHEDULE CONFIRMATION
GOLDEN AGRI INTERNATIONAL;OBL ;;NO;FOSFA ;Apabila pembelian melalui EMERALD / Trader , ada komisi untuk trader USD 10 (bisa dikonfirmasikan kembali dgn SMP)  > harus input di SAP                                               DRAFT BL CHECK WITH CUSTOMER , DOCUMENT SEND TO DBS BANK JAKARTA , RECHECK SELLING PRICE SUDAH INCLUDE LEVY DUTY / BELUM (KALAU BELUM HARUS ADA PRICE ADJUSTMENT)
HDS CHEMIE;OBL;;NO;;- BEFORE CONFIRM BL, NEED CUSTOMER CONFIRMATION                                                                           - BEFORE SEND HARDCOPY VIA DHL, NEED CUSTOMER CONFIRMATION  
INDUSTRIA CHIMICA PANZERI;SWB;;NO;NO NEED TO CHECK;
INTER-HARZ GMBH;SWB;;;NO NEED TO CHECK;"1.LABEL STANDARD FOR POD DOUALA, CAMEROON
2. REQUIRE FRESH PALLET (STATE IN REQ TO PSPA & SHIPPING INST)"
ITALMATCH;SWB;;NO;NO NEED TO CHECK;"1.EOS INVOICE NEEDS TO BE STAMPED & SIGNED
STAMP BULAT + TTD
2.NEED TO DECLARE BL NW = GW"
KA INGREDIENTS;OBL;;YES;;
KALE KIMYA;SWB;;NO;;
LAB. MAVERICK;SWB;;NO;;" - PLEASE MAKE SURE TO INPUT REQUIREMENT ''FOOD GRADE CONTAINER - EXTERNAL & INTERNAL'' WHILE PLACING A BOOKING AND CREATE BC
 - EN 128 BARCODE ON EACH PALLET"
LANXESS UK;SWB;;;KOSHER/HALAL NEED TO CHECK BY KLBD TANKERS;send invoice by email
LEVACO;SWB;;YES;;send invoice by email
LUSH UK;SWB;;NO;;MUST INCLUDE IN INVOICE “NOT FOR HUMAN CONSUMPTION – COSMETIC INGREDIENT”
LIMSA;SWB;YES;NO;;"1. Sebelum proses PO, re-confirm ke Bu Bellah apakah orderan ini utk L'OREAL ATAU BUKAN
2. Untuk Orderan Loreal di Remarks SO harus tulis ""L'OREAL""   3. Send Invoice by Email "
MARVESA;OBL;;;;"1.DOC SEND TO OCBC PALMSPRING
2. DRAFT BL CHECK BY CUSTOMER "
MARPOL PARLATICI;SWB;;NO;WAX B PERLU CEK KOSHER/HALAL;NEED TO SEND DOC DRAFT TO CUST
